Табельный номер,Фамилия,Пол,Год рождения,Год начала работы в компании,Подразделение,Должность,Оклад,Кол-во выполненных проектов
880,Гоблинова,Женский,1982,2021,2,Охраник,26300,23
881,Писюкова,Женский,1975,2015,1,IT-поддержка,26300,83
882,Беброва,Женский,1972,2004,1,Охраник,43700,97
883,Гоблинов,Мужской,1973,2014,2,Захвоз,38200,82
884,Терентьев,Мужской,1989,2021,1,Начальник бани,25700,17
885,Гоблинова,Женский,1981,2013,5,Охраник,38900,79
886,Гоблинов,Мужской,1987,2021,1,Админ сервера,22900,29
887,Терентьев,Мужской,1986,2019,1,Начальник бани,20500,5
888,Терентьева,Женский,1983,2019,2,Начальник бани,23400,14
889,Писюк,Мужской,1970,2001,2,Захвоз,41200,92
890,Иванов,Мужской,1989,2018,1,Админ сервера,27000,30
891,Бебров,Мужской,1979,2001,5,Начальник бани,36200,32
892,Терентьева,Женский,1984,2017,2,Начальник бани,31200,32
893,Писюк,Мужской,1973,2022,3,Захвоз,26400,24
894,Иванова,Женский,1976,2001,5,Захвоз,40400,64
895,Терентьева,Женский,1975,2021,3,Охраник,22200,22
896,Терентьев,Мужской,1985,2016,5,Захвоз,35000,90
897,Гоблинов,Мужской,1973,2011,5,Охраник,37600,36
898,Терентьев,Мужской,1973,2016,2,IT-поддержка,34400,94
899,Гоблинов,Мужской,1974,2006,5,Охраник,35600,46
900,Гоблинова,Женский,1971,2013,1,Захвоз,39500,85
901,Гоблинова,Женский,1990,2020,5,Админ сервера,22700,7
902,Гоблинова,Женский,1989,2018,3,Начальник бани,21000,10
903,Писюк,Мужской,1970,2004,5,Захвоз,38700,67
904,Писюкова,Женский,1980,2007,3,IT-поддержка,37900,39
905,Иванов,Мужской,1984,2004,1,Админ сервера,41100,81
906,Бебров,Мужской,1974,2022,5,IT-поддержка,23700,7
907,Писюкова,Женский,1984,2016,2,Захвоз,34100,81
908,Гоблинов,Мужской,1983,2016,3,Начальник бани,33800,48
909,Иванов,Мужской,1972,2005,1,Охраник,36000,60
910,Терентьева,Женский,1983,2014,5,Админ сервера,43100,91
911,Иванов,Мужской,1980,2020,4,Начальник бани,25800,18
912,Писюкова,Женский,1984,2018,1,IT-поддержка,22900,9
913,Беброва,Женский,1978,2021,4,Захвоз,21700,7
914,Терентьева,Женский,1971,2001,2,Админ сервера,40800,88
915,Бебров,Мужской,1983,2014,5,Захвоз,41800,88
916,Писюк,Мужской,1988,2016,5,Начальник бани,36900,79
917,Гоблинова,Женский,1977,2012,3,Охраник,39000,90
918,Терентьева,Женский,1977,1999,4,Начальник бани,37600,56
919,Терентьева,Женский,1989,2019,4,Охраник,25000,20
920,Беброва,Женский,1971,2010,4,Админ сервера,38200,82
921,Гоблинова,Женский,1980,2013,1,Админ сервера,39300,63
922,Бебров,Мужской,1983,2022,1,IT-поддержка,22300,23
923,Писюкова,Женский,1976,2019,1,Захвоз,23100,1
924,Писюк,Мужской,1988,2018,3,IT-поддержка,23800,18
925,Писюкова,Женский,1976,2012,4,Начальник бани,37700,67
926,Иванова,Женский,1970,1993,5,Админ сервера,37900,59
927,Иванова,Женский,1988,2012,5,Захвоз,37000,50
928,Бебров,Мужской,1971,2011,4,Охраник,37000,30
929,Бебров,Мужской,1986,2014,3,Захвоз,43500,95
930,Беброва,Женский,1989,2016,3,IT-поддержка,28100,31
931,Бебров,Мужской,1989,2018,5,Админ сервера,25100,11
932,Бебров,Мужской,1974,2018,2,Начальник бани,20900,9
933,Иванова,Женский,1990,2008,4,Захвоз,36500,55
934,Терентьева,Женский,1984,2015,3,Захвоз,36500,92
935,Терентьев,Мужской,1978,2008,1,Захвоз,36800,58
936,Беброва,Женский,1983,2011,4,Охраник,34300,43
937,Гоблинов,Мужской,1978,2017,5,Админ сервера,30300,43
938,Иванова,Женский,1986,2021,4,Захвоз,24000,20
939,Писюкова,Женский,1972,2005,3,Админ сервера,38000,40
940,Писюк,Мужской,1975,2005,3,Начальник бани,41800,88
941,Иванов,Мужской,1979,2014,5,Захвоз,38500,65
942,Бебров,Мужской,1978,2022,1,Захвоз,25500,25
943,Писюкова,Женский,1976,2010,3,Админ сервера,36900,49
944,Иванова,Женский,1988,2019,5,IT-поддержка,25000,20
945,Гоблинова,Женский,1970,2005,3,Начальник бани,37200,32
946,Беброва,Женский,1977,2022,5,Захвоз,24400,24
947,Писюкова,Женский,1981,2007,2,Начальник бани,38200,42
948,Гоблинова,Женский,1988,2016,2,Начальник бани,35400,64
949,Бебров,Мужской,1979,2019,1,Захвоз,21700,7
950,Гоблинов,Мужской,1979,2015,4,Захвоз,21700,38
951,Писюкова,Женский,1970,2010,1,Захвоз,36600,46
952,Терентьев,Мужской,1989,2022,2,IT-поддержка,21300,3
953,Иванов,Мужской,1981,2015,2,Захвоз,21300,60
954,Иванов,Мужской,1972,2015,1,Начальник бани,21300,87
955,Иванова,Женский,1975,2013,4,Начальник бани,37300,53
956,Писюк,Мужской,1971,1996,3,Начальник бани,37700,77
957,Иванов,Мужской,1970,2019,3,Начальник бани,21300,3
958,Писюкова,Женский,1979,2014,5,Охраник,34900,39
959,Писюкова,Женский,1971,2020,2,Охраник,22800,8
960,Бебров,Мужской,1970,2012,3,Админ сервера,39800,88
961,Иванов,Мужской,1984,2018,2,Захвоз,23500,5
962,Писюкова,Женский,1987,2010,1,Захвоз,34500,45
963,Гоблинова,Женский,1972,2003,2,Охраник,34300,33
964,Иванова,Женский,1976,2012,4,Охраник,36700,57
965,Гоблинова,Женский,1981,2010,3,IT-поддержка,34900,49
966,Писюкова,Женский,1984,2022,3,Начальник бани,25700,17
967,Бебров,Мужской,1988,2015,3,Захвоз,25700,47
968,Терентьева,Женский,1980,2019,5,Начальник бани,23600,16
969,Писюк,Мужской,1973,2012,4,Админ сервера,36500,45
970,Терентьева,Женский,1979,2021,1,Охраник,22100,1
971,Терентьева,Женский,1975,2006,3,Охраник,43600,96
972,Гоблинова,Женский,1990,2018,1,Захвоз,26200,22
973,Бебров,Мужской,1987,2020,3,Захвоз,23100,11
974,Иванова,Женский,1981,2014,4,IT-поддержка,36100,61
975,Иванов,Мужской,1971,2020,2,Захвоз,22400,14
976,Бебров,Мужской,1975,2015,3,Захвоз,22400,93
977,Терентьев,Мужской,1978,2016,1,Охраник,35000,60
978,Писюк,Мужской,1974,2006,1,Охраник,38700,47
979,Терентьев,Мужской,1976,2019,3,Охраник,20300,3
980,Беброва,Женский,1973,2013,2,Захвоз,39500,55
981,Бебров,Мужской,1971,2007,5,Начальник бани,37300,33
982,Гоблинова,Женский,1984,2021,1,Захвоз,24600,6
983,Терентьев,Мужской,1988,2015,3,Начальник бани,24600,73
984,Писюкова,Женский,1973,2012,4,IT-поддержка,35800,48
985,Гоблинова,Женский,1972,2016,1,Охраник,34500,85
986,Терентьева,Женский,1971,2005,3,Охраник,39700,67
987,Терентьева,Женский,1979,2020,5,Начальник бани,22000,20
988,Писюкова,Женский,1982,2015,2,Захвоз,22000,36
989,Гоблинов,Мужской,1978,2021,2,Захвоз,22900,19
990,Писюк,Мужской,1974,2010,2,Начальник бани,40500,95
991,Бебров,Мужской,1978,2017,5,Охраник,35500,95
992,Гоблинов,Мужской,1983,2011,5,IT-поддержка,40400,84
993,Писюкова,Женский,1984,2014,3,IT-поддержка,35500,45
994,Беброва,Женский,1985,2019,1,Захвоз,20500,5
995,Писюк,Мужской,1979,2006,5,Охраник,38600,86
996,Беброва,Женский,1986,2021,1,Охраник,25300,23
997,Писюк,Мужской,1989,2020,3,Захвоз,21800,18
998,Гоблинов,Мужской,1977,2012,4,IT-поддержка,38800,58
999,Терентьева,Женский,1982,2014,1,Захвоз,36500,55
1000,Гоблинова,Женский,1970,2000,1,IT-поддержка,39600,86
1001,Терентьев,Мужской,1971,2015,5,IT-поддержка,39600,72
1002,Иванова,Женский,1978,2021,1,Админ сервера,23200,12
1003,Беброва,Женский,1975,2011,2,Админ сервера,39400,64
1004,Бебров,Мужской,1979,2006,2,IT-поддержка,40200,62
1005,Иванова,Женский,1986,2022,3,Админ сервера,26500,25
1006,Гоблинова,Женский,1971,2014,5,Захвоз,38800,68
1007,Гоблинова,Женский,1975,2022,5,Захвоз,23100,11
1008,Гоблинова,Женский,1984,2012,3,Охраник,36800,58
1009,Писюкова,Женский,1987,2017,1,Админ сервера,31800,58
1010,Бебров,Мужской,1974,1999,1,Начальник бани,40800,68
1011,Бебров,Мужской,1974,2019,5,Админ сервера,22200,22
1012,Гоблинов,Мужской,1988,2022,5,Админ сервера,21500,5
1013,Писюк,Мужской,1981,2021,2,Захвоз,20700,7
1014,Писюк,Мужской,1984,2015,5,IT-поддержка,20700,84
1015,Терентьев,Мужской,1979,2009,5,Захвоз,33000,30
1016,Иванов,Мужской,1987,2019,5,Охраник,23800,28
1017,Гоблинова,Женский,1984,2022,4,Начальник бани,22100,1
1018,Терентьева,Женский,1988,2020,4,IT-поддержка,23500,25
1019,Гоблинова,Женский,1980,2022,3,Охраник,24900,29
1020,Писюкова,Женский,1987,2019,3,Охраник,23500,25
1021,Гоблинов,Мужской,1973,2014,1,Захвоз,36500,45
1022,Иванов,Мужской,1983,2014,5,Админ сервера,41200,92
1023,Бебров,Мужской,1989,2021,4,Админ сервера,24600,6
1024,Иванова,Женский,1987,2014,2,Начальник бани,39300,53
1025,Гоблинова,Женский,1978,2021,1,Захвоз,23600,6
1026,Иванов,Мужской,1987,2019,4,IT-поддержка,25000,10
1027,Гоблинова,Женский,1979,2022,1,Начальник бани,25700,17
1028,Иванова,Женский,1982,2014,2,Начальник бани,41100,81
1029,Иванова,Женский,1977,2017,4,IT-поддержка,34100,81
1030,Гоблинов,Мужской,1975,2013,5,IT-поддержка,40000,90
1031,Писюк,Мужской,1983,2010,5,Захвоз,35700,37
1032,Писюк,Мужской,1973,2007,4,Захвоз,35100,41
1033,Писюкова,Женский,1985,2018,4,Админ сервера,21200,2
1034,Гоблинов,Мужской,1972,2009,1,IT-поддержка,34400,44
1035,Гоблинов,Мужской,1982,2020,4,Начальник бани,26700,27
1036,Терентьева,Женский,1974,2012,1,Начальник бани,39200,92
1037,Иванов,Мужской,1981,2007,5,Начальник бани,34300,33
1038,Беброва,Женский,1986,2008,4,Охраник,37600,36
1039,Гоблинова,Женский,1976,2005,3,Начальник бани,33700,37
1040,Иванова,Женский,1985,2018,2,Админ сервера,22700,17
1041,Гоблинов,Мужской,1970,2022,1,IT-поддержка,24400,14
1042,Иванов,Мужской,1973,2001,5,IT-поддержка,36800,48
1043,Гоблинова,Женский,1986,2013,2,Охраник,39500,75
1044,Писюк,Мужской,1988,2022,3,Захвоз,21500,5
1045,Гоблинова,Женский,1973,2018,2,Захвоз,24100,11
1046,Писюк,Мужской,1975,2011,4,Админ сервера,39800,58
1047,Бебров,Мужской,1971,1997,4,Захвоз,41700,97
1048,Беброва,Женский,1970,2012,2,Захвоз,40100,91
1049,Гоблинова,Женский,1984,2014,5,Начальник бани,43400,94
1050,Писюк,Мужской,1978,2021,3,Начальник бани,25600,26
1051,Беброва,Женский,1977,2012,5,Охраник,38900,59
1052,Иванов,Мужской,1988,2018,4,Охраник,22400,14
1053,Иванов,Мужской,1971,1998,2,Охраник,39100,81
1054,Иванов,Мужской,1980,2014,1,Начальник бани,41200,72
1055,Гоблинов,Мужской,1985,2017,1,Начальник бани,35200,72
1056,Бебров,Мужской,1990,2022,3,Начальник бани,23700,7
1057,Иванов,Мужской,1977,2006,1,IT-поддержка,37000,70
1058,Писюк,Мужской,1984,2016,4,IT-поддержка,39000,100
1059,Гоблинов,Мужской,1987,2021,2,Начальник бани,22900,9
1060,Беброва,Женский,1989,2012,4,Начальник бани,35200,32
1061,Гоблинова,Женский,1990,2020,1,Начальник бани,24200,22
1062,Беброва,Женский,1990,2013,5,Админ сервера,40900,99
1063,Писюк,Мужской,1978,2010,5,Админ сервера,35100,41
1064,Иванов,Мужской,1973,2013,5,Охраник,43500,95
1065,Беброва,Женский,1984,2008,4,Захвоз,42500,85
1066,Гоблинова,Женский,1974,2014,1,Начальник бани,36600,36
1067,Гоблинова,Женский,1973,2000,3,Админ сервера,37900,59
1068,Иванов,Мужской,1975,2008,1,Админ сервера,37300,33
1069,Иванов,Мужской,1983,2019,4,Начальник бани,25300,13
1070,Беброва,Женский,1987,2017,1,IT-поддержка,29300,13
1071,Гоблинов,Мужской,1974,1997,4,IT-поддержка,38000,60
1072,Терентьев,Мужской,1984,2019,5,Начальник бани,21800,18
1073,Гоблинов,Мужской,1986,2018,1,Админ сервера,26200,22
1074,Бебров,Мужской,1973,2019,5,Захвоз,24000,30
1075,Писюкова,Женский,1988,2014,2,Охраник,36100,61
1076,Беброва,Женский,1984,2015,2,Админ сервера,36100,48
1077,Писюкова,Женский,1986,2017,3,Начальник бани,31800,48
1078,Иванова,Женский,1972,2010,1,Охраник,38000,50
1079,Беброва,Женский,1988,2011,3,Начальник бани,40700,77
1080,Бебров,Мужской,1985,2014,4,Захвоз,39600,66
1081,Иванова,Женский,1976,2013,1,Охраник,37200,72
1082,Иванова,Женский,1973,2016,1,Начальник бани,34000,70
1083,Иванов,Мужской,1973,2018,1,Начальник бани,23700,17
1084,Гоблинов,Мужской,1971,1998,5,Админ сервера,38800,58
1085,Писюк,Мужской,1980,2007,4,Админ сервера,37500,65
1086,Гоблинова,Женский,1971,1995,4,Захвоз,41100,71
1087,Иванов,Мужской,1972,2018,3,Охраник,24700,7
1088,Гоблинова,Женский,1978,2021,2,Захвоз,20900,9
1089,Терентьев,Мужской,1987,2017,5,Охраник,25900,9
1090,Бебров,Мужской,1973,2016,5,Админ сервера,33400,74
1091,Терентьева,Женский,1978,2003,1,Админ сервера,42000,100
1092,Беброва,Женский,1985,2012,1,Охраник,43800,98
1093,Иванова,Женский,1978,2022,3,Начальник бани,22100,1
1094,Гоблинов,Мужской,1988,2022,4,Захвоз,22500,5
1095,Бебров,Мужской,1988,2018,2,Начальник бани,20400,4
1096,Гоблинов,Мужской,1982,2018,4,Начальник бани,24400,4
1097,Терентьев,Мужской,1986,2014,3,Захвоз,39800,68
1098,Гоблинова,Женский,1989,2019,3,Охраник,22400,14
1099,Терентьева,Женский,1980,2021,2,IT-поддержка,24800,8
